human,regen1,regen2,sim_llm_score,sim_human_score
"3일 펀드평가사 에프앤가이드에 따르면 올해 상반기 국내외 주식시장과 채권시장이 모두 약세를 나타내면서 국내 주식형펀드의 연초 이후 평균 수익률은 23.74%, 인덱스 펀드의 평균 수익률은 25.05%, 국내 채권형 펀드 설정액 10억원 이상 펀드의 상반기 수익률은 평균 2.43%를 기록했다.","에프앤가이드에 따르면, 올해 상반기 국내외 주식시장과 채권시장이 모두 약세를 보이며 국내 주식형펀드의 연초 이후 평균 수익률은 23.74%, 인덱스 펀드의 평균 수익률은 25.05%로 나타났고, 국내 채권형 펀드 설정액 10억원 이상 펀드의 상반기 수익률은 평균 2.43%를 기록했다.","에프앤가이드에 따르면, 올해 상반기 국내외 주식시장과 채권시장이 모두 약세를 보이며 국내 주식형펀드의 연초 이후 평균 수익률은 23.74%이고, 인덱스 펀드의 평균 수익률은 25.05%로 나타났으며, 국내 채권형 펀드 설정액 10억원 이상 펀드의 상반기 수익률은 평균 2.43%를 기록했습니다.",-0.30193009972572327,-0.43604037165641785
기업들의 개발자 확보 경쟁이 치열한 가운데 국내 기업의 개발 문화를 가늠할 수 있는 조사결과에 따르면 주로 인터넷 기업·스타트업이 좋은 점수를 받았으나 대부분 개발자 전용 승진 경로는 없는 것으로 나타나 개선돼야 할 점으로 지적됐으며 윤 에반젤리스트는 “앞으로 개발자 전용 커리어 제도 외부 개발자 지원 같은 부족한 부분이 더 보완돼야 할 것”이라고 말했다.,"국내 기업의 개발 문화를 가늠할 수 있는 조사결과에 따르면, 주로 인터넷 기업과 스타트업이 좋은 점수를 받았으나 대부분의 경우 개발자 전용 승진 경로가 없는 것으로 나타났고, 이는 개선이 필요한 부분으로 지적되었습니다. 윤 에반젤리스트는 ""앞으로는 개발자 전용 커리어 제도나 외부 개발자 지원과 같은 부족한 부분을 더 보완해야 할 것""이라고 말했습니다.","국내 기업의 개발 문화를 가늠할 수 있는 조사결과에 따르면, 주로 인터넷 기업과 스타트업이 좋은 점수를 받았으나 대부분의 경우 개발자 전용 승진 경로가 없는 것으로 나타났고, 이는 개선이 필요한 부분으로 지적되었습니다. 윤 에반젤리스트는 ""앞으로는 개발자 전용 커리어 제도나 외부 개발자 지원과 같은 부족한 부분을 더 보완해야 할 것""이라고 말했습니다.",-0.31937935948371887,-1.9147076606750488
4일 윤석열 정부 초대 공정거래위원장 후보로 지명된 송옥렬 서울대 법학전문대학원 교수는 저서로 상법강의 를 출판하는 등 상법 분야의 권위자로 인정받는 법학자이며 행정고시 36회 와 외무고시 27회 에 모두 합격해 이른바 고시 3관왕 을 달성했다.,"4일 지명된 윤석열 정부 초대 공정거래위원장 후보 송옥렬 서울대 법학전문대학원 교수는 상법 분야의 권위자로 인정받는 법학자로, 상법강의를 출판하는 등으로 알려져 있으며 행정고시 36회와 외무고시 27회에 합격하여 고시 3관왕을 달성했다.","4일 지명된 윤석열 정부 초대 공정거래위원장 후보인 송옥렬 서울대 법학전문대학원 교수는 상법 분야의 권위자로 인정받는 법학자로, 상법 강의를 출판하는 등으로 알려져 있으며 행정고시 36회와 외무고시 27회에 합격하여 고시 3관왕을 달성했다.",-0.39352115988731384,-1.9025455713272095
"5일와 여당이 6·21 부동산대책 등을 통해 발표한 임대차 시장 안정화 방안과 종합부동산세 종부세 개편안 후속 대응을 논의하는데, 입법 지원에 속도를 붙여 윤석열 정부의 부동산 정책을 적극 뒷받침하기 위한 것으로 해석되며, 4일 정치권에 따르면 국민의힘 정책위원회는 5일 물가 및 민생안정특별위원회 물가특위 6차 회의를 진행한다.","5일와 여당이 6·21 부동산대책 등을 통해 발표한 임대차 시장 안정화 방안과 종합부동산세 종부세 개편안 후속 대응을 논의하고 있으며, 입법 지원에 속도를 붙여 윤석열 정부의 부동산 정책을 적극 뒷받침하기 위한 것으로 해석되며, 4일 정치권에 따르면 국민의힘 정책위원회는 5일 물가 및 민생안정특별위원회 물가특위 6차 회의를 진행한다.","5일과 여당이 6·21 부동산대책 등을 통해 발표한 임대차 시장 안정화 방안과 종합부동산세 종부세 개편안 후속 대응을 논의하고 있으며, 입법 지원에 속도를 붙여 윤석열 정부의 부동산 정책을 적극 뒷받침하기 위한 것으로 해석되며, 4일 정치권에 따르면 국민의힘 정책위원회는 5일 물가 및 민생안정특별위원회 물가특위 6차 회의를 진행한다.",-0.22029247879981995,-0.2887773811817169
SK텔레콤은 지난 1월 국내 이동통신사 최초로 본인신용정보관리업 마이데이터 예비허가를 획득하고 본허가를 신청하여 지난 3월 정기 주주총회에서 마이데이터 관련 사업을 신규 사업목적에 추가하기도 하여 통신데이터와 금융데이터를 활용한 생활밀착형 맞춤 서비스를 제공해 기존 마이데이터 사업자와 차별화에 나설 계획이다.,"SK텔레콤은 지난 1월 국내 이동통신사 중 최초로 본인신용정보관리업 마이데이터 예비허가를 획득하고 본허가를 신청했으며, 지난 3월 정기 주주총회에서 마이데이터 관련 사업을 신규 사업목적에 추가하고 통신데이터와 금융데이터를 활용한 생활밀착형 맞춤 서비스를 제공해 기존 마이데이터 사업자들과 차별화를 이루기 위한 계획을 세웠다.","SK텔레콤은 지난 1월 국내 이동통신사 중 최초로 본인신용정보관리업 마이데이터 예비허가를 획득하고 본허가를 신청했으며, 지난 3월 정기 주주총회에서 마이데이터 관련 사업을 신규 사업목적에 추가하고 통신데이터와 금융데이터를 활용한 생활밀착형 맞춤 서비스를 제공하여 기존 마이데이터 사업자들과 차별화를 이루기 위한 계획을 세웠다.",-0.16340182721614838,-0.658941924571991
2016년 도시정비사업에 뛰어들 수 있게 된 토지신탁업계 1·2위 한국토지신탁과 한국자산신탁은 각종 비리와 불투명한 운영 등으로 문제가 발생해 전문성 있는 신탁사가 안정적으로 운영할 수 있도록 하자는 취지로 2016년 관련법 개정으로 도시정비사업에 뛰어들 수 있게 되었지만 정작 협상력에 비해 사업성 면에선 발전이 없다는 불만마저 터져나온다.,"2016년 도시정비사업에 참여할 수 있게 된 토지신탁업계 1·2위 기업인 한국토지신탁과 한국자산신탁은 각종 비리와 불투명한 운영 등으로 문제가 발생하여, 전문성 있는 신탁사가 안정적으로 운영할 수 있도록 하자는 취지로 2016년 관련법 개정으로 도시정비사업에 참여할 수 있게 되었지만, 정작 협상력에 비해 사업성 측면에서 발전이 없다는 불만까지 터져나온다.","2016년 도시정비사업에 참여할 수 있게 된 한국토지신탁과 한국자산신탁은 각종 비리와 불투명한 운영 등으로 문제가 발생하여, 전문성 있는 신탁사가 안정적으로 운영할 수 있도록 하자는 취지로 2016년 관련법 개정으로 도시정비사업에 참여할 수 있게 되었지만, 정작 협상력에 비해 사업성 측면에서 발전이 없다는 불만까지 터져나온다.",-0.17458684742450714,-0.842358410358429
‘전자의 대전환 더 나은 미래를 향한 항해’라는 주제의 2030년 부산세계박람회 엑스포 유치를 위해 지난 1일부터 부산 전역 디지털프라자에서 삼성전자 대표 한종희 경계현 는 ‘2030 부산엑스포’ 유치 응원 영상 등을 상영한다고 밝혔다.,부산 전역 디지털프라자에서 삼성전자 대표 한종희 경계현은 '2030 부산엑스포' 유치 응원 영상 등을 상영하기 시작했다고 밝혔다.,부산 전역 디지털프라자에서 삼성전자 대표 한종희 경계현은 '2030 부산엑스포' 유치 응원 영상 등을 상영하기 시작했다고 밝혔습니다.,-0.40799298882484436,-0.8307598233222961
코스 7월에 이어 8월도 한국은행 금융통화위원회에서 빅스텝에 나설 수 있다는 전망이 제기되는 가운데 임재균 KB증권 채권 담당 연구원은 1일 국고채 금리 변동성 확대가 지속되는 가운데 8월 금통위 전후해 고점을 형성할 전망이라며 3년물 3.36 3.60% 10년물 3.42 3.63%가 될 것 이라고 내다봤고 금리 변동성 확대는 한국은행이 빅 스텝 50bp 을 단행할 가능성이 높다는 점에서 불가피하다.,"7월에 이어 8월에도 한국은행 금융통화위원회에서 빅스텝을 나설 수 있다는 전망이 제기되는 가운데, 임재균 KB증권 채권 담당 연구원은 1일 국고채 금리 변동성 확대가 지속되는 가운데 8월 금통위 전후에 고점을 형성할 것으로 전망하며, 3년물은 3.36%에서 3.60%, 10년물은 3.42%에서 3.63%로 상승할 것으로 내다봤으며, 금리 변동성 확대는 한국은행이 빅 스텝 50bp를 단행할 가능성이 높다는 점에서 불가피하다.","7월에 이어 8월에도 한국은행 금융통화위원회에서 빅스텝을 나설 수 있다는 전망이 제기되는 가운데, 임재균 KB증권 채권 담당 연구원은 1일 국고채 금리 변동성 확대가 지속되는 가운데 8월 금통위 전후에 고점을 형성할 것으로 전망하며, 3년물은 3.36%에서 3.60%, 10년물은 3.42%에서 3.63%로 상승할 것으로 내다봤으며, 금리 변동성 확대는 한국은행이 빅 스텝 50bp를 단행할 가능성이 높다는 점에서 불가피하다.",-0.13532735407352448,-1.1768742799758911
IBK기업은행은 윤종원 은행장이 3박 5일간 베트남 정부기관과 금융기관과 중기금융 협력사업을 논의하고 현지진출 국내기업에 대한 금융지원 현황을 점검하고 현지진출 고객의 사업장을 방문하고 진출기업 현지법인장들을 대상으로 간담회도 가졌는데 출장 마지막 날에는 호치민에서 베트남 최대 자산운용사인 비나캐피탈그룹 과 모험자본투자 관련 노하우 공유와 공동사업 추진을 위한 업무협약 MOU 을 체결했다.,"IBK기업은행은 윤종원 은행장이 3박 5일간 베트남 정부기관과 금융기관, 중기금융 협력사업을 논의하고 현지진출 국내기업에 대한 금융지원 현황을 점검하며 현지진출 고객의 사업장을 방문하고 진출기업 현지법인장들을 대상으로 간담회도 가졌으며, 출장 마지막 날에는 호치민에서 베트남 최대 자산운용사인 비나캐피탈그룹과 모험자본투자 관련 노하우를 공유하고 공동사업 추진을 위한 업무협약 MOU를 체결했습니다.","IBK기업은행은 윤종원 은행장이 3박 5일간 베트남 정부기관과 금융기관, 중기금융 협력사업을 논의하고 현지진출 국내기업에 대한 금융지원 현황을 점검하며 현지진출 고객의 사업장을 방문하고 진출기업 현지법인장들을 대상으로 간담회도 가졌으며, 출장 마지막 날에는 호치민에서 베트남 최대 자산운용사인 비나캐피탈그룹과 모험자본투자 관련 노하우를 공유하고 공동사업 추진을 위한 업무협약 MOU를 체결했습니다.",-0.1589161455631256,-0.5976986885070801
메모리 반도체 업황의 풍향계 역할을 하는 미국의 마이크론이 인플레이션 우려와 중국의 경기 둔화 러시아의 우크라이나 침공 장기화로 인한 소비자 지출 감소 등으로 수요가 예상보다 부진할 것이며 시장 전망치에 20% 이상 못 미치는 향후 실적 전망을 보여 반도체 경기 침체에 대한 우려가 커지고 있다.,"미국의 마이크론은 메모리 반도체 업황의 풍향계 역할을 하며, 인플레이션 우려와 중국의 경기 둔화, 러시아의 우크라이나 침공 장기화로 인한 소비자 지출 감소 등으로 인해 수요가 예상보다 부진할 것으로 예상되며, 시장 전망치에 20% 이상 못 미치는 향후 실적 전망을 보여 반도체 경기 침체에 대한 우려가 커지고 있습니다.","미국의 마이크론은 메모리 반도체 업황의 풍향계 역할을 하며, 인플레이션 우려와 중국의 경기 둔화, 러시아의 우크라이나 침공 장기화로 인한 소비자 지출 감소 등으로 인해 수요가 예상보다 부진할 것으로 예상되며, 시장 전망치에 20% 이상 못 미치는 향후 실적 전망을 보여 반도체 경기 침체에 대한 우려가 커지고 있습니다.",-0.16977408528327942,-0.6704403162002563
