human,regen1,regen2,sim_llm_score,sim_human_score
"3일 펀드평가사 에프앤가이드에 따르면 올해 상반기 국내외 주식시장과 채권시장이 모두 약세를 나타내면서 국내 주식형펀드의 연초 이후 평균 수익률은 23.74%, 인덱스 펀드의 평균 수익률은 25.05%, 국내 채권형 펀드 설정액 10억원 이상 펀드의 상반기 수익률은 평균 2.43%를 기록했다.","올해 상반기에 국내외 주식 및 채권 시장이 모두 약세를 보이며, 국내 주식형 펀드는 연초 이후 평균 23.74%의 수익률을 기록했고, 인덱스 펀드는 평균 25.05%의 수익률을 보였다. 또한, 설정액이 10억 원 이상인 국내 채권형 펀드의 경우, 상반기에는 평균 2.43%의 수익률을 나타냈다.","올해 상반기에 국내외 주식 및 채권 시장은 모두 약세였으며, 국내 주식형 펀드는 연초 이후 평균 23.74%의 수익률을 기록하였고, 인덱스 펀드도 평균 25.05%의 수익률을 보였다. 게다가, 설정액 10억 원 이상의 국내 채권형 펀드는 상반기 동안 평균 2.43%의 수익률을 나타냈다.",-1.3498417139053345,-2.907353639602661
기업들의 개발자 확보 경쟁이 치열한 가운데 국내 기업의 개발 문화를 가늠할 수 있는 조사결과에 따르면 주로 인터넷 기업·스타트업이 좋은 점수를 받았으나 대부분 개발자 전용 승진 경로는 없는 것으로 나타나 개선돼야 할 점으로 지적됐으며 윤 에반젤리스트는 “앞으로 개발자 전용 커리어 제도 외부 개발자 지원 같은 부족한 부분이 더 보완돼야 할 것”이라고 말했다.,"국내 기업의 개발 문화를 엿볼 수 있는 조사에 의하면 주로 인터넷 기업 및 스타트업에서 높은 평가를 받았지만 대부분의 경우 개발자를 위한 별도의 진급 제도가 존재하지 않는 것으로 드러나 이에 대한 개선 필요성이 제기되었으며, 윤 에반젤리스트는 앞으로 개발자만을 위한 커리어 구축이나 외부 개발자의 지원을 보강해야 한다고 주장했다.","국내 기업의 개발 문화를 엿볼 수 있는 조사에 따르면 주로 인터넷 기업 및 스타트업에서 높은 평가를 받았으나, 대부분의 경우 개발자를 위한 별도 진급 제도는 부재한 것으로 드러났다. 이로 인해 해당 제도에 대한 개선의 필요성이 대두되고 있으며, 윤 에반젤리스트는 향후 개발자 전용 커리어 구축과 외부 개발자에 대한 지원 강화를 주장하였다.",-1.7844420671463013,-2.8429677486419678
4일 윤석열 정부 초대 공정거래위원장 후보로 지명된 송옥렬 서울대 법학전문대학원 교수는 저서로 상법강의 를 출판하는 등 상법 분야의 권위자로 인정받는 법학자이며 행정고시 36회 와 외무고시 27회 에 모두 합격해 이른바 고시 3관왕 을 달성했다.,송옥렬 서울대 법학전문대학원 교수가 4일 윤석열 정부 초대 공정거래위원장 후보로 지명되었다. 그는 상법 강의 저서를 출판하는 등 해당 분야에서 권위를 인정받는 학자다. 또 행정고시와 외무고시에 모두 합격하여 '고시 3관왕'이라는 칭호를 얻었다.,"송옥렬 서울대 법학전문대학원 교수가 4일 윤석열 정부의 첫 공정거래위원장 후보자로 지목됐다. 그는 상법 관련 저서 출간 등으로 해당 분야에서 권위를 인정받는 학자인 동시에, 행정고시와 외무고시를 모두 합격해 ‘고시 3관왕’으로 일컬어진다.",-2.074765920639038,-2.176679849624634
"5일와 여당이 6·21 부동산대책 등을 통해 발표한 임대차 시장 안정화 방안과 종합부동산세 종부세 개편안 후속 대응을 논의하는데, 입법 지원에 속도를 붙여 윤석열 정부의 부동산 정책을 적극 뒷받침하기 위한 것으로 해석되며, 4일 정치권에 따르면 국민의힘 정책위원회는 5일 물가 및 민생안정특별위원회 물가특위 6차 회의를 진행한다.","여당은 5일 부동산 대책 발표 후 임대차 시장 안정화와 종부세 개편안의 후속 대응 논의를 위해 입법 지원을 가속화하고 있다. 이는 윤석열 정부 부동산 정책을 적극 지지하기 위함으로 보이며, 4일 정치권에 따르면 국민의 힘은 5일 '물가 및 민생안정 특별 위원회'의 제6차 회의도 진행할 예정이다.","여당은 부동산 대책 발표 이후 임대차 시장의 안정화 및 종부세 개편안의 후속 대응에 대한 논의를 가속화하기 위해 입법적 지원을 강화하고 있으며, 이는 윤석열 정부의 부동산 정책에 대한 지지를 적극 표명하려는 의도로 해석된다. 그리고 4일에 정치권에 따르면, 국민의힘은 5일에 '물가 및 민생 안정 특별위원회'의 제6차 회의를 개최할 계획이다.",-2.5659892559051514,-3.1618518829345703
SK텔레콤은 지난 1월 국내 이동통신사 최초로 본인신용정보관리업 마이데이터 예비허가를 획득하고 본허가를 신청하여 지난 3월 정기 주주총회에서 마이데이터 관련 사업을 신규 사업목적에 추가하기도 하여 통신데이터와 금융데이터를 활용한 생활밀착형 맞춤 서비스를 제공해 기존 마이데이터 사업자와 차별화에 나설 계획이다.,"SK텔레콤은 지난 1월 국내 이동통신사 중 처음으로 본인 신용 정보 관리업인 '마이 데이터'의 예비 허가를 얻고 본 허가 신청을 해, 지난 3월에는 정기 주주 총회에서 이를 새로운 사업 목적에 추가함으로써 통신 및 금융 데이터를 활용한 생활 밀착형 맞춤형 서비스를 제공하며 기존 마이 데이터 사업자들과 차별화를 꾀할 예정이다.","SK텔레콤은 지난 1월 국내 이동통신사 최초로 본인 신용 정보 관리업인 ‘마이데이터’의 예비허가를 획득한 뒤 본허가 신청을 진행했고, 지난 3월에는 정기 주주총회를 통해 이를 새로운 사업목적에 추가해 통신·금융 데이터를 활용한 생활밀착형 맞춤형 서비스 제공을 통한 기존 마이데이터 사업자와의 차별화를 추진할 계획이다.",-1.9275540113449097,-3.218421220779419
2016년 도시정비사업에 뛰어들 수 있게 된 토지신탁업계 1·2위 한국토지신탁과 한국자산신탁은 각종 비리와 불투명한 운영 등으로 문제가 발생해 전문성 있는 신탁사가 안정적으로 운영할 수 있도록 하자는 취지로 2016년 관련법 개정으로 도시정비사업에 뛰어들 수 있게 되었지만 정작 협상력에 비해 사업성 면에선 발전이 없다는 불만마저 터져나온다.,"2016년부터 도시정비사업에 참여할 수 있게 된 업계 1·2위인 한국토지신탁과 한국자산신탁에서 각종 비리와 불투명한 운영 등의 문제가 발생했다. 이에 따라 전문성을 갖춘 신탁사가 안정적으로 사업을 이끌어가도록 하기 위해 법 개정이 이루어졌지만, 협상력에 비해 사업성이 부족하다는 불만이 제기되고 있다.","2016년부터 도시 정비 사업에 참여 가능해진 업계 1·2위 기업인 한국 토지신탁 및 한국 자산신탁에서 여러 가지 부패와 행정의 불투명함 등의 문제가 일어났다. 이러한 문제로 인해 전문적인 신탁 회사가 안정적으로 사업을 주도하도록 법을 개정하였으나, 협상의 능력에 비해 사업의 성사 가능성이 낮다는 비판이 나오고 있다.",-3.3396975994110107,-2.550893545150757
‘전자의 대전환 더 나은 미래를 향한 항해’라는 주제의 2030년 부산세계박람회 엑스포 유치를 위해 지난 1일부터 부산 전역 디지털프라자에서 삼성전자 대표 한종희 경계현 는 ‘2030 부산엑스포’ 유치 응원 영상 등을 상영한다고 밝혔다.,"‘전자의 대전환, 더 나은 미래를 향한 항해’라는 주제로 열리는 2030년 부산세계박람회 엑스포의 유치를 위해 삼성전자의 대표인 한종희와 경계현은 지난 1일부터 부산 전역의 디지털플라자에서 ‘2030 부산엑스포’ 유치를 응원하는 영상을 상영할 것이라 밝혔다.","삼성전자 대표 한종희와 경계현은 '2030 부산엑스포' 유치 응원을 위해 지난 1일부터 부산 전역 디지털플라자에서 관련 영상을 상영한다고 밝혔다. 이 행사는 '전자의 대전환, 더 나은 미래를 향한 항해'라는 주제로 개최되는 2030년 부산세계박람회 엑스포 유치를 위한 것이다.",-1.606010913848877,-1.703918218612671
코스 7월에 이어 8월도 한국은행 금융통화위원회에서 빅스텝에 나설 수 있다는 전망이 제기되는 가운데 임재균 KB증권 채권 담당 연구원은 1일 국고채 금리 변동성 확대가 지속되는 가운데 8월 금통위 전후해 고점을 형성할 전망이라며 3년물 3.36 3.60% 10년물 3.42 3.63%가 될 것 이라고 내다봤고 금리 변동성 확대는 한국은행이 빅 스텝 50bp 을 단행할 가능성이 높다는 점에서 불가피하다.,"코스 7월에 이어 8월에도 한국은행 금융통화위원회가 빅 스텝을 밟을 것이라는 전망이 나오는 상황에서, 임재균 KB증권 채권 담당 연구원은 1일, 국채 금리 변동성이 계속 커지는 상황이라면서, 8월 금통위를 기점으로 고점에 도달할 것이라 예상하며, 3년물은 3.36~3.60%, 10년물은 3.42~3.63% 정도가 될 것이라고 예측했고, 이러한 금리 변동성의 확대는 한국은행의 빅 스텝 단행 가능성인 50bp 때문에 어쩔 수 없다는 것이다.","코스 7월에 이어 8월에도 한국은행 금융통화위원회가 빅 스텝을 단행하리라는 전망이 제기되는 가운데, 임재균 KB증권 채권 담당 연구원은 1일, 국채 금리 변동성이 계속해서 커지는 상황이므로 8월 금통위를 기점으로 고점에 다다를 것으로 예상된다며, 3년물의 경우 3.36~3.60%, 10년물의 경우 3.42~3.63% 정도에 이를 것이라 예측했는데, 이러한 금리 변동성 확대의 원인은 한국은행의 빅 스텝 단행 가능성이 높아진 탓이라고 한다.",-1.7940737009048462,-3.043208599090576
IBK기업은행은 윤종원 은행장이 3박 5일간 베트남 정부기관과 금융기관과 중기금융 협력사업을 논의하고 현지진출 국내기업에 대한 금융지원 현황을 점검하고 현지진출 고객의 사업장을 방문하고 진출기업 현지법인장들을 대상으로 간담회도 가졌는데 출장 마지막 날에는 호치민에서 베트남 최대 자산운용사인 비나캐피탈그룹 과 모험자본투자 관련 노하우 공유와 공동사업 추진을 위한 업무협약 MOU 을 체결했다.,"IBK기업은행의 윤종원 은행장은 3박 5일 일정으로 베트남 정부 및 금융기관들과 중소기업 금융 협력 사업을 논의하고, 현지 진출한 국내 기업들의 금융 지원 상황을 점검하며 그들의 사업장을 찾았다. 그리고 진출 기업의 현지 법인장들과의 간담회를 진행하였으며, 출장의 마지막 날에는 호찌민에서 베트남 최대의 자산 운용사 '비나 캐피털 그룹'과의 모험 자본 투자 관련 노하우 공유 및 공동 사업 추진을 위한 MOU를 체결하였다.","IBK기업은행 윤종원 은행장은 3박 5일의 일정 동안 베트남 정부와 금융 기관들 사이에서 중소기업 금융 협력 사업에 대해 논의했다. 또한, 현지 진출한 국내 기업들에 대한 금융 지원 현황을 확인하고 그들의 사업장을 방문했으며, 진출 기업의 현지 법인장들과 간담회를 가졌다. 출장 마지막 날에는 호찌민에서 베트남 최대 자산운용사인 비나캐피탈그룹과 모험자본 투자에 관한 노하우 공유와 공동사업 추진을 위한 MOU를 맺었다.",-2.154954433441162,-3.149279832839966
메모리 반도체 업황의 풍향계 역할을 하는 미국의 마이크론이 인플레이션 우려와 중국의 경기 둔화 러시아의 우크라이나 침공 장기화로 인한 소비자 지출 감소 등으로 수요가 예상보다 부진할 것이며 시장 전망치에 20% 이상 못 미치는 향후 실적 전망을 보여 반도체 경기 침체에 대한 우려가 커지고 있다.,"메모리 반도체 업황의 풍향계인 미국 마이크론은 인플레이션 우려 및 중국 경기 둔화와 러시아의 우크라이나 침공 장기화에 따른 소비 지출 감소 등의 영향으로 수요 부진이 예상보다 심각해지며, 향후 실적이 시장 전망치의 20%에도 미치지 못할 것으로 예측되어 반도체 경기가 침체될 가능성이 높아지고 있다.","메모리 반도체 업황을 가늠할 수 있는 지표인 미국의 마이크론이 인플레이션에 대한 우려와 중국의 경기 둔화, 그리고 러시아의 우크라이나 침공 장기화로 인한 소비 지출 감소 등의 여파로 수요가 당초 예상을 크게 밑돌며 악화되고 있으며, 이에 따라 향후 실적도 시장 전망치의 20%에도 못 미칠 것이라 예측되면서 반도체 경기가 침체 국면에 접어들 확률이 커지고 있다.",-2.3066160678863525,-2.0775580406188965
